Master Category,Category,Part,Description,Price,Link
Exterior Parts,Body & Structure,Body shell / chassis,The main frame that supports all components,1200,https://images.saymedia-content.com/.image/t_share/MTczOTkxOTc5NDM1NTAwODUx/automotive-chassis-system.jpg
Exterior Parts,Body & Structure,Fenders / wings,Curved panels above the wheels to catch road debris,450,https://protuning.design/media/cache/resolve/product_page_large_image/uploads/images/00/20201013-172947.jpg
Exterior Parts,Body & Structure,Doors,Often heavy and chrome-trimmed  with unique handles and hinges,680,https://tse1.mm.bing.net/th/id/OIP.ql8yMW2lMJI2HaFYYP5ymQHaFj?rs=1&pid=ImgDetMain&o=7&rm=3
Exterior Parts,Lighting & Signals,Headlights,Usually round and chrome-bezeled; sometimes separate pods,180,https://static.vecteezy.com/system/resources/previews/005/971/995/large_2x/old-vintage-car-headlight-close-up-photo.jpg
Exterior Parts,Lighting & Signals,Taillights,Red rear lights,95,https://c8.alamy.com/comp/W6H6Y5/the-detail-of-a-tail-light-of-the-old-american-muscle-car-W6H6Y5.jpg
Exterior Parts,Lighting & Signals,Turn signal indicators,Sometimes integrated into fenders or bumpers,65,https://c8.alamy.com/comp/2PY5K2N/vintage-car-headlight-and-turn-signal-2PY5K2N.jpg
Exterior Parts,Chrome & Trim,Bumpers,Large chrome bars at front and rear for protection,420,https://thumbs.dreamstime.com/z/vintage-retro-car-rear-chrome-bumper-taillamp-beige-brown-color-handmade-wood-restoration-auto-service-industry-146404472.jpg
Exterior Parts,Chrome & Trim,Grille,Iconic front design element (e.g.  vertical slats on Rolls-Royce),280,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/classic-car-grill-1938-plymouth-ann-powell.jpg
Exterior Parts,Chrome & Trim,Mirrors,Often small and mounted on doors or fenders,75,https://as2.ftcdn.net/v2/jpg/01/89/48/99/1000_F_189489932_WoqF7BlS0PbZj0swrWE4V8lBsCXTU2cr.jpg
Exterior Parts,Wheels & Undercarriage,Rims / hubcaps,Shiny metal wheel.,220,https://i.pinimg.com/736x/6f/f6/20/6ff62092250627efa648ff79645712d9--potted-plants-fathers-day-gifts.jpg
Exterior Parts,Wheels & Undercarriage,Whitewall tires,Classic tires with white sidewalls,185,https://media.istockphoto.com/id/172645567/photo/sportscar-classic-with-whitewall-tires.jpg?s=1024x1024&w=is&k=20&c=za7DIJZDfoDATfEPFM4hDhw1T9I7NP5CBpPRkXM3WSo=
Exterior Parts,Wheels & Undercarriage,Mud flaps,Rubber guards behind tires to block splashes,45,https://i.etsystatic.com/32020687/r/il/533fc2/3342475844/il_794xN.3342475844_angr.jpg
Exterior Parts,Glass & Openings,Windshield / windscreen,Sometimes split down the middle in old models,320,https://c8.alamy.com/comp/2JBF2M2/automobile-windshield-old-vintage-car-front-view-2JBF2M2.jpg
Exterior Parts,Glass & Openings,Side windows,Often manually rolled up with crank handles,180,https://d2hucwwplm5rxi.cloudfront.net/wp-content/uploads/2021/09/16061505/wing-windows-160920211111-669x418.jpg
Exterior Parts,Glass & Openings,Vent windows,Small triangular windows for airflow,95,https://www.irememberjfk.com/wp/wp-content/uploads/2019/07/wing_vent_window.jpg
Exterior Parts,Accessories & Extras,Hood ornament / mascot,Decorative figure (e.g.  the Spirit of Ecstasy on Rolls-Royce),290,https://i.pinimg.com/originals/61/ce/e3/61cee3b28444f144553b4e6bff21867e.jpg
Exterior Parts,Accessories & Extras,Spare tire cover,Mounted on rear or side often with chrome trim.,150,https://c8.alamy.com/comp/AYK3TR/photo-of-a-classic-antique-car-hudson-with-spare-tire-and-hood-ornament-AYK3TR.jpg
Exterior Parts,Accessories & Extras,Fuel cap,Sometimes exposed and decorative,45,https://media.istockphoto.com/id/1194582562/photo/vintage-car-fuel-cap.jpg?s=612x612&w=0&k=20&c=Vp6Gsj-SD7Nqg_dylwXNMzboPb1qyM6u3lZnBpk3HLI=
Interior Parts,Seats & Upholstery,Seat Frames,Metal base structure that supports the seat and cush,280,https://as2.ftcdn.net/v2/jpg/02/72/11/35/1000_F_272113526_pAnEO6B01Zeo5CaUscyGhG20qm4u9WOp.jpg
Interior Parts,Seats & Upholstery,Seat Foam,Shaped padding that provides comfort and maintains seat form,120,https://fpautoparts.com/product_images/uploaded_images/image-3-seat-foam-article.jpg
Interior Parts,Seats & Upholstery,Leather/Vinyl Covers,Upholstery material that gives seats their classic vintage appearance,340,https://i.pinimg.com/originals/62/62/ef/6262ef4728014fda20e2f0dba192171d.jpg
Interior Parts,Door Panels,Armrests,Padded rests that provide comfort and style to door interiors,85,https://th.bing.com/th/id/OIP.DYJVRY__z8qGW9L07jgbxQHaHL?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3
Interior Parts,Door Panels,Window Cranks,Manual handles used to raise or lower car windows,45,https://thumbs.dreamstime.com/z/automobile-window-crank-vintage-cars-don-t-have-automatic-windows-had-to-hand-down-193568618.jpg
Interior Parts,Door Panels,Door Handles,Chrome or metal levers for opening doors from the inside,65,https://media.istockphoto.com/id/1839664750/photo/classic-car-door-handle.jpg?s=612x612&w=0&k=20&c=uxD-DCbfHSkd_vmYNXKjgxldk3oqiCUZYFEgWLumxgo=
Interior Parts,Dashboard & Controls,Instrument Cluster,Set of gauges displaying speed fuel level,380,https://c8.alamy.com/comp/2PDXBXW/side-view-of-the-instrument-cluster-and-dashboard-of-a-luxury-german-made-car-2PDXBXW.jpg
Interior Parts,Dashboard & Controls,Switch Knobs,Control knobs for headlights wipers,55,https://media.printables.com/media/prints/230822/images/2099677_5778c60e-00c7-4f4d-b576-817d50916413/39cb1b22-2a0d-4186-8130-3b586f668233-1.jpg
Interior Parts,Dashboard & Controls,Glove Box,Storage compartment built into the dashboard for small items,120,https://bloximages.chicago2.vip.townnews.com/kearneyhub.com/content/tncms/assets/v3/editorial/8/8f/88f8184a-fa63-11e9-a634-dfa0b0588669/5db85f5e5a3c6.image.jpg
Interior Parts,Steering Assembly,Steering Wheel,Classic control wheel that defines the car's driving feel,260,https://thumbs.dreamstime.com/z/vintage-steering-wheel-antique-car-170969045.jpg
Interior Parts,Steering Assembly,Horn Ring,Chrome ring used for honking and as a decorative feature,85,https://c8.alamy.com/comp/2SY1TCC/classic-automobile-horn-detail-showcases-vintage-elegance-in-a-timeless-red-car-at-a-local-museum-exhibit-2SY1TCC.jpg
Interior Parts,Steering Assembly,Turn Signal Lever,Lever for indicating direction changes in vintage vehicles,55,https://img.freepik.com/premium-photo/lever-switching-lights-turn-signals-steering-wheel-car_136863-2555.jpg
Interior Parts,Floor & Carpeting,Carpet Set,Cut-to-fit floor coverings matching original car specifications,180,https://prestigeautotrim.com/uk/webimages/mga-carpets-standard-interior/wp1001ar-large.jpg
Interior Parts,Floor & Carpeting,Floor Mats,Rubber or loop-pile mats for protecting the car's carpet,65,https://i.etsystatic.com/37787019/r/il/1347a2/4754628167/il_fullxfull.4754628167_6tog.jpg
Interior Parts,Floor & Carpeting,Pedal Pads,Rubber pads providing grip on clutch brake,45,https://www.slashgear.com/img/gallery/why-do-some-old-cars-have-four-pedals-heres-what-theyre-for/intro-1744318516.jpg
Interior Parts,Roof & Headliner,Headliner Fabric,Fabric covering the interior ceiling for a smooth finish,220,https://th.bing.com/th/id/R.f4294711e375c1beef6282888946bfdc?rik=rUjGlM2umCyg3A&riu=http%3a%2f%2fnewarkauto.com%2fcdn%2fshop%2fcollections%2fHeadliner_Product_Photo.png%3fv%3d1715089158&ehk=IRPpLSsVzo2JiQAl%2bVj2RFPf59JC6n0RswvCJympnU0%3d&risl=&pid=ImgRaw&r=0
Interior Parts,Roof & Headliner,Sun Visors,Adjustable panels blocking sunlight glare for drivers and passengers,95,https://tse4.mm.bing.net/th/id/OIP.pcLJvFynu8l6e1yGIk5tdQAAAA?rs=1&pid=ImgDetMain&o=7&rm=3
Interior Parts,Roof & Headliner,Dome Light Housing,Fixture holding the cabin light  adding vintage illumination,85,https://images.bonanzastatic.com/afu/images/e9a6/5f81/4bb8_11911539828/s-l1600.jpg
Interior Parts,Interior Accessories,Rearview Mirror,Chrome-finish mirror providing clear rear visibility,120,https://c8.alamy.com/comp/DBT7GW/rear-view-mirror-of-vintage-car-DBT7GW.jpg
Interior Parts,Interior Accessories,Dashboard Clock,Analog clock adding elegance and authenticity to the dashboard,150,https://biswasaccessories.com/wp-content/uploads/2021/01/Car-Interior-Dashboard-Clock-Automotive-Luminous-Backlight-Clocks3-1003x1024.jpg
Interior Parts,Interior Accessories,Radio Unit,Retro-style AM/FM radio with optional modern Bluetooth upgrade,380,https://c8.alamy.com/comp/B566J9/vintage-car-radio-B566J9.jpg
Electrical Parts,Power Supply & Charging,Battery,Provides electrical energy to start the engine and power accessories,145,https://tse1.mm.bing.net/th/id/OIP.WTuMZEoRd7IMOJGIj6McdAHaE6?rs=1&pid=ImgDetMain&o=7&rm=3
Electrical Parts,Power Supply & Charging,Alternator / Generator,Charges the battery and powers the electrical system when the engine is running,320,https://c8.alamy.com/comp/2RE208F/automotive-power-generating-alternator-generator-isolated-on-white-car-parts-and-car-repair-service-3d-illustration-2RE208F.jpg
Electrical Parts,Power Supply & Charging,Fuse Box,Protects electrical circuits from overloads,120,https://classic-technologies.com/images/CLASSIC%20TECHNOLOGIES%20FUSE%20BOX.jpg
Electrical Parts,Ignition System,Ignition Coil,Converts battery voltage to high voltage for spark plugs,95,https://www.alamy.com/aggregator-api/download?url=https://c8.alamy.com/comp/AGJYXY/vintage-car-ignition-coils-AGJYXY.jpg
Electrical Parts,Ignition System,Spark Plugs,Ignite the air-fuel mixture in engine cylinders,35,https://image.invaluable.com/housePhotos/keystoneauction/24/702924/H4200-L256772521_original.jpg
Electrical Parts,Ignition System,Distributor,Directs high-voltage electricity to the correct spark plug,180,https://thumbs.dreamstime.com/z/distributor-cap-vintage-car-visible-ignition-cables-four-cylinder-engine-older-type-racing-being-built-emphasis-271004521.jpg
Electrical Parts,Accessories & Miscellaneous,Radio / Audio System,Early AM/FM radios powered by the car battery.,250,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGewL4Q26Yw0iT-bMUO8TTJAR1nIAlIFXrKg&s
Engine,Engine Block Assembly,Engine Block,Main housing containing cylinders and crankcase for internal components.,1850,https://images.prewarcar.com/pimg/597359/2285023/1200-800-r2w/r-engines-parts-rolls-royce-rolls-royce.JPG
Engine,Engine Block Assembly,Cylinder Liners,Replaceable sleeves providing a smooth surface for piston movement.,280,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXaROFoyOA072YXjbm_xo1A6Pab7vBM0h94w&s
Engine,Engine Block Assembly,Crankcase,Lower part of the block holding crankshaft and lubricating oil.,420,https://thumbs.dreamstime.com/b/car-crankcase-housing-metal-crankshaft-18410116.jpg
Engine,Piston & Connecting Rod System,Piston,Converts combustion pressure into mechanical force.,165,https://vintageandclassicspares.co.uk/wp-content/uploads/2024/10/Blog-Austin-Pistons-795x448-1.webp
Engine,Piston & Connecting Rod System,Piston Rings,Seal combustion chamber and control oil flow.,85,https://www.classicengineparts.co.uk/m/categories/.thumbs/211e-6102-4-1_d0662a.gif
Engine,Piston & Connecting Rod System,Connecting Rod,Links piston to crankshaft to transmit motion.,195,https://cars.bonhams.com/_next/image.jpg?url=https%3A%2F%2Fimg1.bonhams.com%2Fimage%3Fsrc%3DImages%2Flive%2F2011-06%2F09%2F8317767-2-2.jpg&w=2400&q=75
Engine,Crankshaft & Flywheel Assembly,Crankshaft,Converts piston movement into rotational energy.,680,https://www.flyingspares.com/media/catalog/product/_/u/_u_e_ue31297u_52.jpg
Engine,Crankshaft & Flywheel Assembly,Main Bearings,Support crankshaft rotation inside the block.,145,https://www.flyingspares.com/media/amasty/webp/catalog/product/cache/cc15bc55b0686ee7823f948e6bf648eb/_/r/_r_h_rh2085_2_83_jpg.webp
Engine,Crankshaft & Flywheel Assembly,Flywheel,Stores rotational energy and helps start the engine.,320,https://c.ndtvimg.com/2021-12/ain57sn8_car_625x300_30_December_21.jpg
Engine,Cylinder Head & Valve Mechanism,Cylinder Head,Seals the top of cylinders and holds valve components.,520,https://img1.bonhams.com/image?src=Images/live/2019-08/13/94636380-57-1.jpg
Engine,Cylinder Head & Valve Mechanism,Valves,Control intake of air-fuel and exhaust of gases.,125,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUIJGwpcKlnFVosGSubHa9ApFIdogCEYdc0A&s
Engine,Cylinder Head & Valve Mechanism,Rocker Arms,Transmit camshaft motion to open valves.,95,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Ford3.0rockerarms.jpg/250px-Ford3.0rockerarms.jpg
Engine,Camshaft & Timing Mechanism,Camshaft,Controls valve timing and sequence.,380,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Ford3.0rockerarms.jpg/250px-Ford3.0rockerarms.jpg
Engine,Camshaft & Timing Mechanism,Timing Chain,Connects crankshaft and camshaft ensuring synchronized motion.,165,https://www.angclassiccarparts.co.uk/images/ww/ww/product/948_1099cc_A-series_t_chain_kit.jpg
Engine,Camshaft & Timing Mechanism,Lifters (Tappets),Push rods up and down following camshaft lobes.,85,https://www.enginebuildermag.com/wp-content/uploads/RollerLifterClipGroup_MED.jpg
Engine,Fuel & Air Intake System,Carburetor,Mixes air and fuel for combustion in proper ratio.,420,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5t-xNFJ6TsdQQRcbLF5dJNf0qhDCTrmJstw&s
Engine,Fuel & Air Intake System,Intake Manifold,Distributes air-fuel mixture to cylinders evenly.,280,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVmywkZ3d_FVr1VjCpD7ZfFJRWXNRRfILzsA&s
Engine,Fuel & Air Intake System,Fuel Pump,Delivers fuel from tank to carburetor.,165,https://www.partsbigboss.in/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/i/m/walker_fuel_pump_repair_kit_ambassador_petrol_new_model.jpg
Engine,Lubrication & Cooling System,Oil Pump,Circulates oil through engine for lubrication.,185,https://cdn.dealeraccelerate.com/ag/1/4437/374913/790x1024/1950-s-shell-motor-oil-pump
Engine,Lubrication & Cooling System,Oil Filter,Removes impurities from circulating oil.,35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpLg9e4nSqrSgFNOz-nVLGuhqr1GziHyOm4Q&s
Engine,Lubrication & Cooling System,Radiator,Dissipates heat from the coolant to maintain temperature.,380,https://c8.alamy.com/comp/C42WTT/vintage-vauxhall-car-C42WTT.jpg
Engine,Exhaust & Gasket Assembly,Exhaust Manifold,Collects exhaust gases and directs them out of cylinders.,280,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLTsUziVJLqhwPZQTTuwXFiWB4gGIquiircQ&s
Engine,Exhaust & Gasket Assembly,Muffler,Reduces exhaust noise from the engine.,165,https://images.pexels.com/photos/5214192/pexels-photo-5214192.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Engine,Exhaust & Gasket Assembly,Head Gasket,Seals gap between engine block and cylinder head.,95,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmCgQeDFqW6IBxqIrka-896lg-vM5sg-DkhA&s
